rainfall_mm,temperature_c,humidity,wind_speed,solar_radiation,soil_moisture,n_avg,p_avg,k_avg
61.63666667,12.02333333,82.30666667,1.516666667,12.99333333,0.807179211,514.759807,15.25777696,238.5771898
372.395,19.7975,89.685,1.9375,13.935,0.888422043,519.959401,15.33444921,242.210345
372.395,19.7975,89.685,1.9375,13.935,0.888422043,519.959401,15.33444921,242.210345
10.68,12.86333333,85.70333333,1.496666667,13.27,0.793913978,519.959401,15.33444921,242.210345
360.6,28.235,73.9375,1.3225,16.0825,0.820223118,269.2230351,10.70837014,63.74623057
360.6,28.235,73.9375,1.3225,16.0825,0.820223118,269.2230351,10.70837014,63.74623057
22.1,19.85333333,67.21333333,1.503333333,12.75333333,0.740050179,269.2230351,10.70837014,63.74623057
398.65,28.455,75.435,1.3125,15.45,0.872752688,277.5495207,10.92690831,66.40232351
398.65,28.455,75.435,1.3125,15.45,0.872752688,277.5495207,10.92690831,66.40232351
32.90333333,21.76666667,64.59666667,1.546666667,12.97,0.700050179,277.5495207,10.92690831,66.40232351
262.27,29.16,71.4475,1.285,15.2275,0.714,286.1335265,11.14990644,69.16908699
262.27,29.16,71.4475,1.285,15.2275,0.714,286.1335265,11.14990644,69.16908699
51.56666667,21.10666667,67.85,1.496666667,12.86666667,0.710154122,286.1335265,11.14990644,69.16908699
333.7275,28.8125,73.27,1.3225,14.0275,0.778752688,335.4432437,13.94173648,90.98177604
333.7275,28.8125,73.27,1.3225,14.0275,0.778752688,335.4432437,13.94173648,90.98177604
18.61333333,21.13666667,63.51,1.49,12.65,0.704899642,335.4432437,13.94173648,90.98177604
249.6875,29.7125,70.145,1.27,15.3175,0.680873656,344.0443525,14.11106931,93.89244174
249.6875,29.7125,70.145,1.27,15.3175,0.680873656,344.0443525,14.11106931,93.89244174
326.0325,28.8,72.255,1.3225,13.8475,0.787763441,352.8660026,14.28245882,96.8962247
326.0325,28.8,72.255,1.3225,13.8475,0.787763441,352.8660026,14.28245882,96.8962247
20.12,20.68,66.11333333,1.476666667,13.73666667,0.697795699,352.8660026,14.28245882,96.8962247
401.155,28.935,73.1025,1.2325,13.03,0.806903226,361.9138488,14.45592998,99.99610393
401.155,28.935,73.1025,1.2325,13.03,0.806903226,361.9138488,14.45592998,99.99610393
50.83666667,20.85333333,68.48666667,1.306666667,11.92666667,0.788247312,361.9138488,14.45592998,99.99610393
287.795,28.2775,74.3625,1.2525,13.725,0.877491935,371.193691,14.63150808,103.1951537
287.795,28.2775,74.3625,1.2525,13.725,0.877491935,371.193691,14.63150808,103.1951537
57.64333333,19.98666667,67.36666667,1.48,13.59333333,0.762265233,371.193691,14.63150808,103.1951537
297.7675,29.4325,70.3375,1.24,14.8275,0.807698925,380.711478,14.8092187,106.4965466
297.7675,29.4325,70.3375,1.24,14.8275,0.807698925,380.711478,14.8092187,106.4965466
32.63666667,20.86666667,64.69,1.423333333,13.85666667,0.676548387,380.711478,14.8092187,106.4965466
386.735,29.45,70.4,1.2875,15.14,0.822174731,390.4733108,14.98908775,109.9035569
386.735,29.45,70.4,1.2875,15.14,0.822174731,390.4733108,14.98908775,109.9035569
42.68666667,20.70666667,67.29333333,1.466666667,12.73,0.738505376,390.4733108,14.98908775,109.9035569
364.0975,28.8375,71.86,1.2875,14.2775,0.812268817,400.4854469,15.17114145,113.4195634
364.0975,28.8375,71.86,1.2875,14.2775,0.812268817,400.4854469,15.17114145,113.4195634
33.85,20.98,66.77,1.416666667,12.84,0.737537634,400.4854469,15.17114145,113.4195634
448.6325,28.51,74.015,1.29,13.98,0.914365591,410.7543046,15.35540633,117.048053
448.6325,28.51,74.015,1.29,13.98,0.914365591,410.7543046,15.35540633,117.048053
51.79666667,21.09,66.59,1.4,14,0.781587814,410.7543046,15.35540633,117.048053
422.765,29.2425,71.4375,1.2625,15.2975,0.836572581,421.2864662,15.54190924,120.7926244
422.765,29.2425,71.4375,1.2625,15.2975,0.836572581,421.2864662,15.54190924,120.7926244
63.70666667,20.21,70.72666667,1.373333333,12.06666667,0.789344086,421.2864662,15.54190924,120.7926244
498.4275,28.2675,76.235,1.225,13.2575,0.964669355,543.2898301,17.48797268,159.368851
498.4275,28.2675,76.235,1.225,13.2575,0.964669355,543.2898301,17.48797268,159.368851
55.26666667,20.91,69.12,1.373333333,12.28666667,0.833537634,543.2898301,17.48797268,159.368851
414.7225,28.695,73.325,1.2625,14.99,0.858473118,548.7776061,17.57585194,161.7957878
414.7225,28.695,73.325,1.2625,14.99,0.858473118,548.7776061,17.57585194,161.7957878
19.86,20.74333333,66.23333333,1.41,13.26666667,0.747863799,548.7776061,17.57585194,161.7957878
548.6225,28.1175,80.18,1.4475,13.05,0.93266129,554.3208143,17.66417281,164.2596831
548.6225,28.1175,80.18,1.4475,13.05,0.93266129,554.3208143,17.66417281,164.2596831
57.65,20.96333333,71.16333333,1.59,13.26333333,0.833870968,554.3208143,17.66417281,164.2596831
388.9575,28.65,79.105,1.44,15.8975,0.917913978,559.9200144,17.75293749,166.7610996
388.9575,28.65,79.105,1.44,15.8975,0.917913978,559.9200144,17.75293749,166.7610996
64.39333333,20.72,69.53333333,1.483333333,12.67666667,0.813229391,559.9200144,17.75293749,166.7610996
409.5275,28.1975,79.37,1.435,14.2425,0.871069892,565.5757721,17.84214823,169.3006087
409.5275,28.1975,79.37,1.435,14.2425,0.871069892,565.5757721,17.84214823,169.3006087
15.28,21.78,70.44666667,1.466666667,13.53666667,0.791501792,565.5757721,17.84214823,169.3006087
233.3825,13.6525,87.4375,2.2375,13.6875,0.79272043,234.6148252,13.03600276,96.24770388
233.3825,13.6525,87.4375,2.2375,13.6875,0.79272043,234.6148252,13.03600276,96.24770388
24.58666667,5.526666667,77.27,1.726666667,13.33,0.765229391,234.6148252,13.03600276,96.24770388
295.095,14.0025,89.27,2.27,13.4925,0.840384409,240.6305899,13.19433478,99.32683578
295.095,14.0025,89.27,2.27,13.4925,0.840384409,240.6305899,13.19433478,99.32683578
39.44333333,6.013333333,80.48666667,1.743333333,11.58333333,0.816512545,240.6305899,13.19433478,99.32683578
256.81,13.5525,89.585,2.305,13.2775,0.881857527,246.800605,13.35458986,102.5044745
256.81,13.5525,89.585,2.305,13.2775,0.881857527,246.800605,13.35458986,102.5044745
50.75333333,5.116666667,77.55333333,1.76,13.18333333,0.806770609,246.800605,13.35458986,102.5044745
216.57,14.0875,87.6225,2.2875,14.6925,0.82213172,253.1288257,13.51679135,105.7837714
216.57,14.0875,87.6225,2.2875,14.6925,0.82213172,253.1288257,13.51679135,105.7837714
229.2225,14.225,86.4625,2.2525,15.1325,0.811112903,259.6193084,13.68096291,109.1679787
229.2225,14.225,86.4625,2.2525,15.1325,0.811112903,259.6193084,13.68096291,109.1679787
323.8075,13.8875,88.195,2.3075,14.11,0.877083333,266.2762137,13.84712845,112.6604528
323.8075,13.8875,88.195,2.3075,14.11,0.877083333,266.2762137,13.84712845,112.6604528
307.5575,13.65,89.71,2.295,13.8775,0.901510753,273.103809,14.0153122,116.2646572
307.5575,13.65,89.71,2.295,13.8775,0.901510753,273.103809,14.0153122,116.2646572
236.105,14.1175,87.76,2.3925,14.9275,0.775311828,280.1064707,14.18553866,119.9841663
236.105,14.1175,87.76,2.3925,14.9275,0.775311828,280.1064707,14.18553866,119.9841663
318.8375,13.9475,90.4475,2.3925,12.77,0.882924731,361.2245089,15.96176562,158.3022045
318.8375,13.9475,90.4475,2.3925,12.77,0.882924731,361.2245089,15.96176562,158.3022045
271.0475,13.7725,88.045,2.32,14.565,0.831075269,364.8732414,16.0419755,160.712898
271.0475,13.7725,88.045,2.32,14.565,0.831075269,364.8732414,16.0419755,160.712898
298.115,14.26,90.18,2.43,13.215,0.859965054,368.5588297,16.12258844,163.1603025
298.115,14.26,90.18,2.43,13.215,0.859965054,368.5588297,16.12258844,163.1603025
257.8325,14.3125,89.8,2.35,15.29,0.861494624,372.2816461,16.20360647,165.6449772
257.8325,14.3125,89.8,2.35,15.29,0.861494624,372.2816461,16.20360647,165.6449772
275.4925,14.23,90.7925,2.45,13.685,0.847846774,376.0420668,16.28503163,168.1674895
275.4925,14.23,90.7925,2.45,13.685,0.847846774,376.0420668,16.28503163,168.1674895
242.055,22.235,79.695,1.385,14.3,0.781416667,172.9305738,12.38088419,73.49909338
242.055,22.235,79.695,1.385,14.3,0.781416667,172.9305738,12.38088419,73.49909338
18.10666667,14.07,67.38666667,1.606666667,12.27333333,0.675476703,172.9305738,12.38088419,73.49909338
206.2475,22.6475,79.2575,1.4275,15.655,0.745905914,178.278942,12.63355529,76.56155561
206.2475,22.6475,79.2575,1.4275,15.655,0.745905914,178.278942,12.63355529,76.56155561
32.52333333,16.27666667,60.49,1.656666667,12.58666667,0.63162724,178.278942,12.63355529,76.56155561
129.48,23.5125,74.265,1.43,14.8925,0.621825269,183.7927237,12.89138295,79.75162043
129.48,23.5125,74.265,1.43,14.8925,0.621825269,183.7927237,12.89138295,79.75162043
37.31,15.78333333,63.23333333,1.613333333,12.36666667,0.61690681,183.7927237,12.89138295,79.75162043
177.7025,23.015,76.57,1.44,14.175,0.677322581,215.4659336,16.11926208,104.9015447
177.7025,23.015,76.57,1.44,14.175,0.677322581,215.4659336,16.11926208,104.9015447
14.50333333,15.74666667,57.48,1.64,12.27666667,0.614724014,215.4659336,16.11926208,104.9015447
156.9525,23.725,74.625,1.41,15.3825,0.643193548,220.9907011,16.31504259,108.257528
156.9525,23.725,74.625,1.41,15.3825,0.643193548,220.9907011,16.31504259,108.257528
44.73,15.44666667,62.77333333,1.606666667,13.31,0.643057348,220.9907011,16.31504259,108.257528
216.525,22.67,78.3875,1.39,14.11,0.770615591,226.6571294,16.513201,111.7208752
216.525,22.67,78.3875,1.39,14.11,0.770615591,226.6571294,16.513201,111.7208752
14.78666667,15.03666667,62.79333333,1.613333333,13.54,0.653139785,226.6571294,16.513201,111.7208752
221.8075,23.1125,76.7175,1.3875,13.1125,0.691806452,232.4688506,16.7137662,115.2950208
221.8075,23.1125,76.7175,1.3875,13.1125,0.691806452,232.4688506,16.7137662,115.2950208
35.66666667,15.14333333,65.71333333,1.513333333,11.96666667,0.687512545,232.4688506,16.7137662,115.2950208
169.145,22.2675,79.875,1.375,13.855,0.794524194,238.4295904,16.91676741,118.9835096
169.145,22.2675,79.875,1.375,13.855,0.794524194,238.4295904,16.91676741,118.9835096
35.63,14.27,64.57,1.616666667,12.89666667,0.662358423,238.4295904,16.91676741,118.9835096
186.7275,23.2325,75.4675,1.415,14.7575,0.743494624,244.5431696,17.12223422,122.7899996
186.7275,23.2325,75.4675,1.415,14.7575,0.743494624,244.5431696,17.12223422,122.7899996
25.69666667,15.43666667,59.93,1.596666667,13.56333333,0.628874552,244.5431696,17.12223422,122.7899996
176.8425,23.23,76.3975,1.46,15.4,0.712887097,250.8135073,17.33019657,126.7182658
